"Your Kindle Notes For:",,,
"HARRY POTTER UND DER STEIN DER WEISEN (GERMAN EDITION)",,,
"by J.K. Rowling, Klaus Fritz",,,
"Free Kindle instant preview:",,,
"https://a.co/cMoDk39",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 5","","Mr Dursley war Direktor einer Firma namens Grunnings, die Bohrmaschinen herstellte. Er war groß und bullig und hatte fast keinen Hals, dafür aber einen sehr großen Schnurrbart. Mrs Dursley war dünn und blond und besaß doppelt so viel Hals, wie notwendig gewesen wäre, was allerdings sehr nützlich war, denn so konnte sie den Hals über den Gartenzaun recken und zu den Nachbarn hinüberspähen. Die Dursleys hatten einen kleinen Sohn namens Dudley und in ihren Augen gab es nirgendwo einen prächtigeren Jungen."
"Highlight (Yellow)","Page 5","","Mrs Potter war die Schwester von Mrs Dursley; doch die beiden hatten sich schon seit etlichen Jahren nicht mehr gesehen."
"Highlight (Yellow)","Page 5","","wie man es sich nur denken konnte."
"Highlight (Yellow)","Page 6","","Auch dieser Junge war ein guter Grund, sich von den Potters fernzuhalten; mit einem solchen Kind sollte ihr Dudley nicht in Berührung kommen."
"Highlight (Yellow)","Page 6","","Als Mr und Mrs Dursley an dem trüben und grauen Dienstag, an dem unsere Geschichte beginnt, die Augen aufschlugen, war an dem wolkenverhangenen Himmel draußen kein Vorzeichen der merkwürdigen und geheimnisvollen Dinge zu erkennen, die bald überall im Land geschehen sollten."
"Highlight (Yellow)","Page 6","","Keiner von ihnen sah den riesigen Waldkauz am Fenster vorbeifliegen."
"Highlight (Yellow)","Page 6","","Um halb neun griff Mr Dursley nach der Aktentasche, gab seiner Frau einen Schmatz auf die Wange und versuchte es auch bei Dudley mit einem Abschiedskuss. Der ging jedoch daneben, weil Dudley gerade einen Wutanfall hatte und die Wände mit seinem Haferbrei bewarf."
"Highlight (Yellow)","Page 6","","»Kleiner Schlingel«, gluckste Mr Dursley, während er nach draußen ging."
"Highlight (Yellow)","Page 6","","An der Einbiegung zum Ligusterweg stand eine getigerte Katze, aber eine Straßenkarte war nicht zu sehen. Woran er nur wieder gedacht hatte!"
"Highlight (Yellow)","Page 7","","Das musste eine Sinnestäuschung gewesen sein."
"Highlight (Yellow)","Page 7","","im Rückspiegel."
"Highlight (Yellow)","Page 7","","Während er in Richtung Stadt fuhr, hatte er nur noch den großen Auftrag für Bohrmaschinen im Sinn, der heute hoffentlich eintreffen würde."
"Highlight (Yellow)","Page 7","","Er saß im üblichen morgendlichen Stau fest und konnte nicht umhin zu bemerken, dass offenbar eine Menge seltsam gekleideter Menschen unterwegs waren. Menschen in langen und weiten Umhängen."
"Highlight (Yellow)","Page 8","","Er machte fünf verschiedene Leute zur Schnecke. Er führte mehrere wichtige Telefongespräche und schrie dabei noch ein wenig lauter."
"Highlight (Yellow)","Page 8","","Im Vorbeigehen warf er ihnen zornige Blicke zu. Er wusste nicht, warum, aber sie bereiteten ihm Unbehagen."
"Highlight (Yellow)","Page 8","","Mr Dursley blieb wie angewurzelt stehen. Angst überkam ihn."
"Highlight (Yellow)","Page 8","","Hastig überquerte er die Straße, stürmte hoch ins Büro, fauchte seine Sekretärin an, er wolle nicht gestört werden, griff nach dem Telefon und hatte schon fast die Nummer von daheim gewählt, als er es sich anders überlegte."
"Highlight (Yellow)","Page 9","","»Verzeihung«, grummelte er, als der kleine alte Mann ins Stolpern kam und beinahe hinfiel."
"Highlight (Yellow)","Page 9","","Lächeln, und die Leute, die vorbeigingen, blickten auf, als er mit piepsiger Stimme sagte: »Heute verzeih ich alles, mein lieber Herr, heute kann mich nichts aus der Bahn werfen!"
"Highlight (Yellow)","Page 9","","Du-weißt-schon-wer"
"Highlight (Yellow)","Page 9","","Mr Dursley stand da wie angewurzelt. Ein völlig Fremder hatte ihn umarmt."
"Highlight (Yellow)","Page 10","","Völlig durcheinander eilte er zu seinem Wagen und fuhr nach Hause."
"Highlight (Yellow)","Page 10","","Mrs Dursley hatte einen netten, gewöhnlichen Tag hinter sich."
"Highlight (Yellow)","Page 10","","»Und hier noch eine Meldung. Wie die Vogelkundler im ganzen Land berichten, haben sich unsere Eulen heute sehr ungewöhnlich verhalten."
"Highlight (Yellow)","Page 10","","Obwohl Eulen normalerweise nachts jagen und tagsüber kaum gesichtet werden, wurden diese Vögel seit Sonnenaufgang hunderte Male beobachtet, wie sie kreuz und quer über das Land hinwegflogen."
"Highlight (Yellow)","Page 11","","Aber ich kann Ihnen für heute eine regnerische Nacht versprechen.«"
"Highlight (Yellow)","Page 11","","Mr Dursley saß starr wie ein Eiszapfen in seinem Sessel. Sternschnuppen über ganz Großbritannien? Eulen, die bei Tage flogen? Allerorten geheimnisvolle Leute in sonderbarer Kleidung? Und ein Tuscheln, ein Tuscheln über die Potters"
"Highlight (Yellow)","Page 11","","»Komisches Zeug in den Nachrichten«, murmelte Mr Dursley. »Eulen … Sternschnuppen … und heute waren eine Menge komisch aussehender Leute in der Stadt …« »Und?«, fuhr ihn Mrs Dursley an. »Nun, ich dachte nur … vielleicht … hat es etwas zu tun mit … du weißt … ihrem Klüngel.«"
"Highlight (Yellow)","Page 12","","Stattdessen bemerkte er so beiläufig, wie er nur konnte: »Ihr Sohn – er wäre ungefähr in Dudleys Alter, oder?«"
"Highlight (Yellow)","Page 12","","»Ich nehme an«, sagte Mrs Dursley steif."
"Highlight (Yellow)","Page 12","","»Harry. Ein hässlicher, gewöhnlicher Name, wenn du mich fragst.«"
"Highlight (Yellow)","Page 12","","Sie starrte auf den Ligusterweg, als ob sie auf etwas wartete."
"Highlight (Yellow)","Page 12","","Mrs Dursley schlief rasch ein, doch Mr Dursley lag wach und wälzte alles noch einmal im Kopf hin und her."
"Highlight (Yellow)","Page 12","","Wie sehr er sich täuschte."
"Highlight (Yellow)","Page 13","","In der Tat war es fast Mitternacht, als die Katze sich zum ersten Mal rührte."
"Highlight (Yellow)","Page 13","","An der Ecke, die sie beobachtet hatte, erschien ein Mann, so jäh und lautlos, als wäre er geradewegs aus dem Boden gewachsen."
"Highlight (Yellow)","Page 13","","dass sie in seinem Gürtel hätten stecken können. Er trug eine lange Robe, einen purpurroten Umhang, der den Boden streifte, und Schnallenstiefel mit hohen Hacken."
"Highlight (Yellow)","Page 13","","Seine blauen Augen leuchteten funkelnd hinter den halbmondförmigen Brillengläsern hervor, und seine Nase war sehr lang und krumm, als ob sie mindestens zweimal gebrochen wäre. Der Name dieses Mannes war Albus Dumbledore."
"Highlight (Yellow)","Page 13","","Er gluckste vergnügt und murmelte: »Ich hätte es wissen müssen.«"
"Highlight (Yellow)","Page 14","","scharfäugige"
"Highlight (Yellow)","Page 15","","»Das wäre eine schöne Bescherung, wenn ausgerechnet an dem Tag, da Du-weißt-schon-wer endlich verschwindet, die Muggel alles über uns herausfinden würden. Ich nehme an, er ist wirklich verschwunden, Dumbledore?«"
"Highlight (Yellow)","Page 16","","»Ein Zitronenbrausebonbon. Eine Nascherei der Muggel, auf die ich ganz scharf bin.«"
"Highlight (Yellow)","Page 16","","»Das weiß ich wohl«, sagte Professor McGonagall halb aufgebracht, halb bewundernd. »Doch Sie sind anders."
"Highlight (Yellow)","Page 17","","sagte er mit belegter Stimme."
"Highlight (Yellow)","Page 17","","Keiner weiß, warum oder wie, aber es heißt, als er Harry Potter nicht töten konnte, fiel Voldemorts Macht in sich zusammen – und deshalb ist er verschwunden.«"
"Highlight (Yellow)","Page 17","","Dumbledore nickte mit düsterer Miene."
"Highlight (Yellow)","Page 18","","»Wir können nur mutmaßen«, sagte Dumbledore. »Vielleicht werden wir es nie wissen.« Professor McGonagall zog ein Spitzentaschentuch"
"Highlight (Yellow)","Page 18","","ich habe gesehen, wie er seine Mutter den ganzen Weg die Straße entlang gequält und nach Süßigkeiten geschrien hat. Harry Potter und hier leben?«"
