"Your Kindle Notes For:",,,
"NICHT WEG UND NICHT DA: ROMAN (GERMAN EDITION)",,,
"by Anne Freytag",,,
"Free Kindle instant preview:",,,
"https://a.co/5KfuXEA",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 10","","Überbleibsel"
"Highlight (Yellow)","Page 10","","Als hätte ich von meinem alten Ich nur drei Millimeter übrig gelassen."
"Highlight (Yellow)","Page 10","","So wie seiner."
"Highlight (Yellow)","Page 10","","Direkt neben das verkalkte Glas, in dem jetzt nur noch eine Zahnbürste steht."
"Highlight (Yellow)","Page 10","","Durch den menschlichen Körper fließen im Durchschnitt fünf bis sechs Liter Blut."
"Highlight (Yellow)","Page 13","","Sie fixiert die Tür wie eine Zielscheibe."
"Highlight (Yellow)","Page 13","","zielstrebig"
"Highlight (Yellow)","Page 13","","abgehackt."
"Highlight (Yellow)","Page 13","","übrig"
"Highlight (Yellow)","Page 13","","schmal"
"Highlight (Yellow)","Page 13","","Stammesbemalung."
"Highlight (Yellow)","Page 15","","schweigend"
"Highlight (Yellow)","Page 15","","zäh"
"Highlight (Yellow)","Page 15","","geräumiger"
"Highlight (Yellow)","Page 15","","In Wahrheit ging es um die Leere, die wir zu dritt nicht füllen konnten. Ein Tisch hat nun mal vier Seiten."
"Highlight (Yellow)","Page 15","","beschissene"
"Highlight (Yellow)","Page 15","","unvermittelt"
"Highlight (Yellow)","Page 16","","»Wie war es bei Dr. Falkstein?«, fragt Mama, ohne mich anzusehen."
"Highlight (Yellow)","Page 16","","»Ich glaube, ich bin geheilt.«"
"Highlight (Yellow)","Page 16","","»Es wird dir guttun, darüber zu reden.«"
"Highlight (Yellow)","Page 17","","Ich verlasse das Haus. Die Luft ist kühl und schwer, aber es hat aufgehört zu schneien. Ich schaue nach oben. Die Wolken sind aufgerissen, und der Himmel hat große blaue Flecken. Sie sind dunkel. Schwarz-Blau mit einem Schuss Violett. Wie Blutergüsse. Dieser Farbton erinnert mich an meine Kindheit."
"Highlight (Yellow)","Page 17","","und setze mir im Gehen die Kopfhörer"
"Highlight (Yellow)","Page 17","","Ich drücke auf Play, lehne mich an die Säule und schließe die Augen."
"Highlight (Yellow)","Page 17","","Ich höre dieses Lied zurzeit andauernd."
"Highlight (Yellow)","Page 17","","wahnsinnig."
"Highlight (Yellow)","Page 17","","Aber mich macht sie ganz."
"Highlight (Yellow)","Page 17","","Ich bin vor drei Jahren zu ihm gezogen."
"Highlight (Yellow)","Page 17","","Seitdem sind es nur noch er und ich."
"Highlight (Yellow)","Page 17","","Ich würde nicht so weit gehen zu sagen, dass ich sie mochte, aber sie war in Ordnung. Ich hätte es wirklich schlimmer treffen können."
"Highlight (Yellow)","Page 18","","unselbstständig."
"Highlight (Yellow)","Page 18","","gebügelt"
"Highlight (Yellow)","Page 18","","Seit ich da bin, ist es ordentlich, sagt Andrea."
"Highlight (Yellow)","Page 18","","Eisiger Wind weht mir entgegen, die U-Bahn fährt ein."
"Highlight (Yellow)","Page 18","","Die Luft, die sie vor sich herschiebt, riecht abgestanden und metallisch. Ich öffne die Augen. Die Türen gehen auf. Menschen fließen an mir vorbei. Ich steige ein, stelle mich in Fahrtrichtung neben die Tür und denke plötzlich an das Mädchen. An ihre dunklen Augen und ihren runden Hinterkopf. Ich frage mich, wie er sich anfühlt."
"Highlight (Yellow)","Page 19","","Gleich ist es zwanzig nach acht – telefonieren wollten wir vor fast einer Stunde."
"Highlight (Yellow)","Page 19","","Wenn sie sich nicht meldet, tut es keiner."
"Highlight (Yellow)","Page 19","","unzertrennlich."
"Highlight (Yellow)","Page 19","","Fernfreundschaft."
"Highlight (Yellow)","Page 20","","Das Lied ist zu Ende. Ich spiele es von vorn."
"Highlight (Yellow)","Page 20","","Und dann endlich springt das Skype-Icon in meinem Dock auf und ab. Ich nehme den Anruf an, und die Videoverbindung wird aufgebaut."
