"Your Kindle Notes For:",,,
"EIN TOR ZU EURER WELT: WIE ICH ALS AUTIST MEINE GEFÜHLE LIEBEN LERNTE - MIT EINEM VORWORT VON TONY ATTWOOD (GERMAN EDITION)",,,
"by Aaron Wahl",,,
"Free Kindle instant preview:",,,
"https://a.co/giBYSam",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 52","","Diese Strategien basieren auf der Kognitiven Verhaltenstherapie, die jedoch bei der Behandlung von Menschen mit Autismus an ihre Grenzen stößt, weshalb zusätzliche und alternative Strategien vonnöten sind."
"Highlight (Yellow)","Location 61","","Aarons Lebenserfahrungen ähneln in vielerlei Hinsicht denen anderer Erwachsener mit Autismus, aber seine Biografie unterscheidet sich in einem entscheidenden Punkt, nämlich der Geschichte von der PEM und Aarons Glauben an deren Nutzen für ihn selbst und andere Menschen mit Autismus."
"Highlight (Yellow)","Location 71","","Mit geblähten Nüstern. Mit hastigem Atem. Mit angstgeweitetem Blick."
"Highlight (Yellow)","Location 77","","Weg vor dem Zittern in meinen Beinen und der Taubheit in meinem Kopf. Ich renne, als ob"
"Highlight (Yellow)","Location 79","","Würde ich jetzt stehen bleiben, hätte ich endgültig gegen mich selbst verloren."
"Highlight (Yellow)","Location 80","","Er ist die letzte Chance, meine eigenen Fesseln zu sprengen."
"Highlight (Yellow)","Location 83","","Er ist vor allem eine Befreiung. Ich habe das Gefühl, mit jedem Laut, der mir entweicht, werde ich leichter und laufe schneller."
"Highlight (Yellow)","Location 91","","Er nickt seinerseits und lässt mich gehen."
"Highlight (Yellow)","Location 93","","Es ist erst ein halbes Jahr her, dass eine Psychologin bei mir das Asperger-Syndrom diagnostiziert hat, eine Autismus-Variante, die sich durch gestörtes Kommunikationsverhalten und Probleme beim Deuten und Ausdrücken von Gefühlen äußert."
"Highlight (Yellow)","Location 95","","In diesen 25 Jahren wurde ich gemobbt, verklagt, entmündigt, berentet, immer wieder fehldiagnostiziert und schließlich von einem Therapeuten achselzuckend zum hoffnungslosen Fall erklärt."
"Highlight (Yellow)","Location 100","","So sehr ich auch versuchte, mich mit traurigen Filmen, fragwürdigen Bekanntschaften und grenzwertigen Situationen herauszufordern, sie hinterließen immer nur eine große Taubheit. Bei der Suche"
"Highlight (Yellow)","Location 101","","überwinden,"
"Highlight (Yellow)","Location 112","","Ich habe zum ersten Mal erfahren, was es bedeutet, von einer Gemeinschaft ohne Vorbehalte akzeptiert zu werden."
"Highlight (Yellow)","Location 117","","geschafft. Jede Übung, die mich meinen Gefühlen näherbringt, lässt die Gewissheit in mir reifen, dass es mehr oder am besten allen Autisten möglich sein sollte, die Befreiung zu erleben, die mir hier zuteilwird."
"Highlight (Yellow)","Location 120","","Das ist sehr aufschlussreich."
"Highlight (Yellow)","Location 125","","Lust ist die Energie, die übrig bleibt, wenn alle Grundbedürfnisse befriedigt sind."
"Highlight (Yellow)","Location 126","","zwangsläufig"
"Highlight (Yellow)","Location 127","","Man bekommt etwas: eine Belohnung."
"Highlight (Yellow)","Location 129","","Damit handeln sie per se lustbetonter. Ob das auch für mich galt?"
"Highlight (Yellow)","Location 138","","In gewisser Weise setzt sich der Konkurrenzkampf, der sich in Mirjams frühem Verhalten bereits abzeichnete, aber bis heute fort."
"Highlight (Yellow)","Location 140","","Das bedeutete für meine Familie, dass ich es gar nicht erst lernen durfte."
"Highlight (Yellow)","Location 145","","Rückblickend kommt mir dieser Lebensabschnitt vor wie ein endloser Marathon aus Arztbesuchen und Sinnlosigkeiten."
"Highlight (Yellow)","Location 146","","Verhaltensauffälligkeiten, Sprachentwicklungsstörungen, motorische Schwierigkeiten. Schon als Baby musste ich zur Krankengymnastik, später kamen Ergotherapie und eine Behandlung am Hamburger Werner-Otto-Institut für entwicklungsverzögerte Kinder hinzu."
"Highlight (Yellow)","Location 153","","Ich war extrem ruhig, Einzelgänger, sehr lärmempfindlich, große Menschenansammlungen überforderten mich, was ich nicht wollte, machte ich nicht."
"Highlight (Yellow)","Location 158","","Also denke ich gar nicht länger über das Thema nach, auch wenn ich viele Kinder ganz flauschig finde. Oft sind sie sehr direkt und authentisch. Das mag ich."
"Highlight (Yellow)","Location 160","","also diejenigen, die sich von der Gesellschaft vereinnahmen lassen und die Erwachsenen nachahmen."
"Highlight (Yellow)","Location 164","","So etwas finde ich dämlich."
"Highlight (Yellow)","Location 166","","Traurig macht mich höchstens, dass dies mein Leben schon früh in zwei Bereiche spaltete: meine Welt und die Welt der anderen."
"Highlight (Yellow)","Location 170","","Sie ermutigte mich, wo ich Interesse zeigte, ließ mich aber in Ruhe, wenn ich es nicht tat."
